id,linked order id,Type,service time,ORDERREFERENCE,labels,ACCOUNTNAME,location name,CUSTOMERCOMPANYNAME,CUSTOMERCONTACTNAME,location id,location zip code,location street,location city,location country,latitude,longitude,CUSTOMERMOBILE,CUSTOMERTELEPHONE,CUSTOMEREMAIL,volume,weight,capacity 1,QUANTITYUNIT1,capacity 2,QUANTITYUNIT2,capacity 3,absolute timewindows,time window type,description,tags,location counted as stop,location stop time,lifo group,DEFAULT TEMPERATURE,TASK ID,TIME_WINDOWS_V2
NSW_285637_P,NSW_285637_DEL,Pickup,1,INV-2044822,CANBERRA,Merrylands Produce,Chill NSW,**Chill NSW,,NSW_5,NSW 2100,**Chill NSW|2/128 Old Pittwater rd ,BROOKVALE,AU,-33.7666568,151.2611993,,,test1@test.com,0.017,7,1,Items,0,Pallets,0,2025/05/19 23:00:00+00:00 - 2025/05/20 06:30:00+00:00,Service Arrival,Frozen -18C to -20C\n.\n.\n / Authority to leave: No \n0\n\nNA,Frozen minus 18C to minus 20C - . - . - .,,10,,999,NSW_285637_P,1
NSW_285637_DEL,NSW_285637_P,Delivery,15,INV-2044822,CANBERRA,Merrylands Produce,"Merrylands Produce,Store Manager",Petbarn Majura Park,Store Manager,NSW_3639_404,ACT 2609,"Petbarn Majura Park |Unit 2, 7-15 Mustang Avenue, ",MAJURA,AU,-35.2949616,149.190617,,,test1@test.com,0.017,7,1,Items,0,Pallets,0,2025/05/19 23:00:00+00:00 - 2025/05/20 06:30:00+00:00,Service Arrival,Frozen -18C to -20C\n.\n.\n / Authority to leave: No \n0\n\nNA,Frozen minus 18C to minus 20C - . - . - .,TRUE,,,999,NSW_285637_DEL,1
NSW_285645_P,NSW_285645_DEL,Pickup,1,INV-2044790,HUNTER VALLEY,Merrylands Produce,Chill NSW,**Chill NSW,,NSW_5,NSW 2100,**Chill NSW|2/128 Old Pittwater rd ,BROOKVALE,AU,-33.7666568,151.2611993,,,test1@test.com,0.017,7,1,Items,0,Pallets,0,2025/05/19 23:00:00+00:00 - 2025/05/20 06:30:00+00:00,Service Arrival,Frozen -18C to -20C\n.\n.\n / Authority to leave: No \n0\n\nNA,Frozen minus 18C to minus 20C - . - . - .,,10,,999,NSW_285645_P,1
NSW_285645_DEL,NSW_285645_P,Delivery,15,INV-2044790,HUNTER VALLEY,Merrylands Produce,"Merrylands Produce,Store Manager",Petbarn Singleton,Store Manager,NSW_3681_404,NSW 2330,"Petbarn Singleton |Unit 17B Rosepoint Centre,21 Ryan Avenue ",SINGLETON,AU,-32.5687674,151.1628049,,,test1@test.com,0.017,7,1,Items,0,Pallets,0,2025/05/19 23:00:00+00:00 - 2025/05/20 06:30:00+00:00,Service Arrival,Frozen -18C to -20C\n.\n.\n / Authority to leave: No \n0\n\nNA,Frozen minus 18C to minus 20C - . - . - .,TRUE,,,999,NSW_285645_DEL,1
NSW_285839_P,NSW_285839_DEL,Pickup,1,INV-2044963,HUNTER VALLEY,Merrylands Produce,Chill NSW,**Chill NSW,,NSW_5,NSW 2100,**Chill NSW|2/128 Old Pittwater rd ,BROOKVALE,AU,-33.7666568,151.2611993,,,test1@test.com,0.017,7,1,Items,0,Pallets,0,2025/05/19 23:00:00+00:00 - 2025/05/20 06:30:00+00:00,Service Arrival,Frozen -18C to -20C\n.\n.\n / Authority to leave: No \n0\n\nNA,Frozen minus 18C to minus 20C - . - . - .,,10,,999,NSW_285839_P,1
NSW_285839_DEL,NSW_285839_P,Delivery,15,INV-2044963,HUNTER VALLEY,Merrylands Produce,"Merrylands Produce,Store Manager",Petbarn East Maitland,Store Manager,NSW_3646_404,NSW 2323,Petbarn East Maitland |cnr Chelmsford dr and New England Hwy ,EAST MAITLAND,AU,-32.761044,151.595971,,,test1@test.com,0.017,7,1,Items,0,Pallets,0,2025/05/19 23:00:00+00:00 - 2025/05/20 06:30:00+00:00,Service Arrival,Frozen -18C to -20C\n.\n.\n / Authority to leave: No \n0\n\nNA,Frozen minus 18C to minus 20C - . - . - .,TRUE,,,999,NSW_285839_DEL,1
NSW_285842_P,NSW_285842_DEL,Pickup,1,INV-2044965,HUNTER VALLEY,Merrylands Produce,Chill NSW,**Chill NSW,,NSW_5,NSW 2100,**Chill NSW|2/128 Old Pittwater rd ,BROOKVALE,AU,-33.7666568,151.2611993,,,test1@test.com,0.017,7,1,Items,0,Pallets,0,2025/05/19 23:00:00+00:00 - 2025/05/20 06:30:00+00:00,Service Arrival,Frozen -18C to -20C\n.\n.\n / Authority to leave: No \n0\n\nNA,Frozen minus 18C to minus 20C - . - . - .,,10,,999,NSW_285842_P,1
NSW_285842_DEL,NSW_285842_P,Delivery,15,INV-2044965,HUNTER VALLEY,Merrylands Produce,"Merrylands Produce,Store Manager",Petbarn Rutherford,Store Manager,NSW_3653_404,NSW 2320,"Petbarn Rutherford |Unit 4 Hunter Supa Centre,New England Highway ",RUTHERFORD,AU,-32.710447,151.512553,,,test1@test.com,0.017,7,1,Items,0,Pallets,0,2025/05/19 23:00:00+00:00 - 2025/05/20 06:30:00+00:00,Service Arrival,Frozen -18C to -20C\n.\n.\n / Authority to leave: No \n0\n\nNA,Frozen minus 18C to minus 20C - . - . - .,TRUE,,,999,NSW_285842_DEL,1
NSW_285867_P,NSW_285867_DEL,Pickup,1,RETAIL_KKB112929,METRO AREA 1 NSW,Koko Black,Chill NSW,**chill Nsw,**chill Nsw,NSW_46887,NSW 2100,**chill Nsw|2/128 Old Pittwater Rd ,BROOKVALE,AU,-33.7666568,151.2611993,,,test2@test.com,0.657,45,9,Items,0,Pallets,0,2025/05/19 14:00:00+00:00 - 2025/05/19 14:00:00+00:00,Service Arrival,Wine & Confectionery 12C to 18C\n.\n.\nDock booking via mobiledock 20/05/25\n0\n\nNA,Wine & Confectionery 12C to 18C - . - . - .,,10,,999,NSW_285867_P,1
NSW_285867_DEL,NSW_285867_P,Delivery,45,RETAIL_KKB112929,METRO AREA 1 NSW,Koko Black,"Koko Black,David Jones - Sydney",David Jones - Sydney,David Jones - Sydney,NSW_41797_339,NSW 2000,David Jones - Sydney |133 Elizabeth Street David Jones Loading Bay,SYDNEY,AU,-33.8701268,151.2099337,,,test2@test.com,0.657,45,9,Items,0,Pallets,0,2025/05/19 19:00:00+00:00 - 2025/05/19 20:30:00+00:00,Service Arrival,Wine & Confectionery 12C to 18C\n.\n.\nDock booking via mobiledock 20/05/25\n0\nRETAIL_KKB112929\nNA,Wine & Confectionery 12C to 18C - . - . - <3.1,TRUE,,,999,NSW_285867_DEL,1
