"Delivery Address ID","Delivery Address","Consignment Reference","Sale Order Reference","Sale Order Date added","Delivery Run Date","Date Delivered","Delivery Run",Quantity,Pallets,Spaces,"Cubic (m³)","Weight (kg)","Product Code","Product Name","Product Type","Expiry date","Unit of Measure","Order Qty","Ship Qty"
26543,"South Bank Cultural Forecourt, , Melbourne Street, SOUTH BRISBANE, , ","11/05 COCOBELLA MDC Sampling","11/05 COCOBELLA MDC Sampling","2025-05-07 19:39:35",2025-05-11,"2025-05-12 08:23:27","METRO 1",0,4,4,7.058,1081,1000472,"COCOBELLA COCONUT YOGHURT VANILLA","Chiller 0C to +4C",2025-05-27,Carton,96,96
26543,"South Bank Cultural Forecourt, , Melbourne Street, SOUTH BRISBANE, , ","11/05 COCOBELLA MDC Sampling","11/05 COCOBELLA MDC Sampling","2025-05-07 19:39:35",2025-05-11,"2025-05-12 08:23:27","METRO 1",0,4,4,7.058,1081,1000471,"COCOBELLA COCONUT YOGHURT STRAWBERRY","Chiller 0C to +4C",2025-05-27,Carton,96,96
26543,"South Bank Cultural Forecourt, , Melbourne Street, SOUTH BRISBANE, , ","11/05 COCOBELLA MDC Sampling","11/05 COCOBELLA MDC Sampling","2025-05-07 19:39:35",2025-05-11,"2025-05-12 08:23:27","METRO 1",0,4,4,7.058,1081,1000474,"COCOBELLA COCONUT YOGHURT MANGO","Chiller 0C to +4C",2025-05-27,Carton,144,144
26543,"South Bank Cultural Forecourt, , Melbourne Street, SOUTH BRISBANE, , ","11/05 COCOBELLA MDC Sampling","11/05 COCOBELLA MDC Sampling","2025-05-07 19:39:35",2025-05-11,"2025-05-12 08:23:27","METRO 1",0,4,4,7.058,1081,1000403,"COCOBELLA STRAIGHT UP 12X250ML","Chiller 0C to +4C",2026-02-18,Carton,0,126
25848,"Virgin Australia Lounge, , Terminal Drive, BILINGA, , ",2230293401,2230293401,"2025-05-09 14:48:33",2025-05-13,"2025-05-13 11:07:49","GOLD COAST",15,0,0,0,150,BROCPASTA,"Broccoli Pasta","Frozen -18C to -20C",2026-04-16,Carton,7,7
25848,"Virgin Australia Lounge, , Terminal Drive, BILINGA, , ",2230293401,2230293401,"2025-05-09 14:48:33",2025-05-13,"2025-05-13 11:07:49","GOLD COAST",15,0,0,0,150,SAUSPASTA,"Sausage Pasta","Frozen -18C to -20C",2026-04-23,Carton,8,8
26048,"Virgin Australia Lounge Brisbane, , Bribie Way, BRISBANE AIRPORT, , ",2230293898,2230293898,"2025-05-12 08:42:41",2025-05-13,"2025-05-13 09:40:06","METRO 1",18,0,0,0,180,BROCPASTA,"Broccoli Pasta","Frozen -18C to -20C",2026-04-16,Carton,9,9
26048,"Virgin Australia Lounge Brisbane, , Bribie Way, BRISBANE AIRPORT, , ",2230293898,2230293898,"2025-05-12 08:42:41",2025-05-13,"2025-05-13 09:40:06","METRO 1",18,0,0,0,180,SAUSPASTA,"Sausage Pasta","Frozen -18C to -20C",2026-04-23,Carton,9,9
26048,"Virgin Australia Lounge Brisbane, , Bribie Way, BRISBANE AIRPORT, , ",2230293898/1,2230293898/1,"2025-05-12 11:04:37",2025-05-16,"2025-05-16 14:07:41","METRO 1",0,1,0,1.764,540,BROCPASTA,"Broccoli Pasta","Frozen -18C to -20C",2026-04-16,Carton,11,7
26048,"Virgin Australia Lounge Brisbane, , Bribie Way, BRISBANE AIRPORT, , ",2230293898/1,2230293898/1,"2025-05-12 11:04:37",2025-05-16,"2025-05-16 14:07:41","METRO 1",0,1,0,1.764,540,BROCPASTA,"Broccoli Pasta","Frozen -18C to -20C",2026-04-16,Carton,11,4
26048,"Virgin Australia Lounge Brisbane, , Bribie Way, BRISBANE AIRPORT, , ",2230293898/1,2230293898/1,"2025-05-12 11:04:37",2025-05-16,"2025-05-16 14:07:41","METRO 1",0,1,0,1.764,540,SAUSPASTA,"Sausage Pasta","Frozen -18C to -20C",2026-04-30,Carton,43,43
25848,"Virgin Australia Lounge, , Terminal Drive, BILINGA, , ",2230294045,2230294045,"2025-05-12 11:02:50",2025-05-16,"2025-05-16 13:23:58","GOLD COAST",14,0,0,0,140,BROCPASTA,"Broccoli Pasta","Frozen -18C to -20C",2026-04-16,Carton,,5
25848,"Virgin Australia Lounge, , Terminal Drive, BILINGA, , ",2230294045,2230294045,"2025-05-12 11:02:50",2025-05-16,"2025-05-16 13:23:58","GOLD COAST",14,0,0,0,140,SAUSPASTA,"Sausage Pasta","Frozen -18C to -20C",2026-04-30,Carton,8,8
