"Delivery Address ID","Delivery Address","Consignment Reference","Delivery Run Date","Date Delivered","Delivery Run",Quantity,Pallets,Spaces,"Cubic (m³)","Weight (kg)","Ship Qty"
26543,"South Bank Cultural Forecourt, , Melbourne Street, SOUTH BRISBANE, , ","11/05 COCOBELLA MDC Sampling",2025-05-11,"2025-05-12 08:23:27","METRO 1",0,4,4,7.058,1081,96
26543,"South Bank Cultural Forecourt, , Melbourne Street, SOUTH BRISBANE, , ","11/05 COCOBELLA MDC Sampling",2025-05-11,"2025-05-12 08:23:27","METRO 1",0,4,4,7.058,1081,96
26543,"South Bank Cultural Forecourt, , Melbourne Street, SOUTH BRISBANE, , ","11/05 COCOBELLA MDC Sampling",2025-05-11,"2025-05-12 08:23:27","METRO 1",0,4,4,7.058,1081,144
26543,"South Bank Cultural Forecourt, , Melbourne Street, SOUTH BRISBANE, , ","11/05 COCOBELLA MDC Sampling",2025-05-11,"2025-05-12 08:23:27","METRO 1",0,4,4,7.058,1081,126
25848,"Virgin Australia Lounge, , Terminal Drive, BILINGA, , ",2230293401,2025-05-13,"2025-05-13 11:07:49","GOLD COAST",15,0,0,0,150,7
25848,"Virgin Australia Lounge, , Terminal Drive, BILINGA, , ",2230293401,2025-05-13,"2025-05-13 11:07:49","GOLD COAST",15,0,0,0,150,8
26048,"Virgin Australia Lounge Brisbane, , Bribie Way, BRISBANE AIRPORT, , ",2230293898,2025-05-13,"2025-05-13 09:40:06","METRO 1",18,0,0,0,180,9
26048,"Virgin Australia Lounge Brisbane, , Bribie Way, BRISBANE AIRPORT, , ",2230293898,2025-05-13,"2025-05-13 09:40:06","METRO 1",18,0,0,0,180,9
26048,"Virgin Australia Lounge Brisbane, , Bribie Way, BRISBANE AIRPORT, , ",2230293898/1,2025-05-16,"2025-05-16 14:07:41","METRO 1",0,1,0,1.764,540,7
26048,"Virgin Australia Lounge Brisbane, , Bribie Way, BRISBANE AIRPORT, , ",2230293898/1,2025-05-16,"2025-05-16 14:07:41","METRO 1",0,1,0,1.764,540,4
26048,"Virgin Australia Lounge Brisbane, , Bribie Way, BRISBANE AIRPORT, , ",2230293898/1,2025-05-16,"2025-05-16 14:07:41","METRO 1",0,1,0,1.764,540,43
25848,"Virgin Australia Lounge, , Terminal Drive, BILINGA, , ",2230294045,2025-05-16,"2025-05-16 13:23:58","GOLD COAST",14,0,0,0,140,5
25848,"Virgin Australia Lounge, , Terminal Drive, BILINGA, , ",2230294045,2025-05-16,"2025-05-16 13:23:58","GOLD COAST",14,0,0,0,140,8
26568,"Vip-cap Coast Rural (the Green Shed) (c1067001), , 47 Tanby Road, YEPPOON, , ",2508770,2025-05-12,"2025-05-14 06:03:13",ROCKHAMPTON,0,1,0,1.764,25.48,1
26568,"Vip-cap Coast Rural (the Green Shed) (c1067001), , 47 Tanby Road, YEPPOON, , ",2508770,2025-05-12,"2025-05-14 06:03:13",ROCKHAMPTON,0,1,0,1.764,25.48,1
