"Customer Name","Consignment Reference","Delivery Address","Delivery Run Date","Date Delivered","Delivery Run",Quantity,Pallets,Spaces,"Cubic (m³)","Weight (kg)","Consignment Required Delivery Date"
"Merrylands Produce",,"Petbarn Arundel, , 1 Telford Place, Arundel, , ",2025-05-12,"2025-05-12 15:55:37","GOLD COAST",1,0,0,0.017,7,
"Banana Blossom (NSW)",0121BBQLD,"Chill Qld, , 24 Octal Street, YATALA, , ",2025-05-16,"2025-05-16 09:23:35","Warehouse Outbound",0,1,0,2.053,500,2025-05-16
"Mama Ka'z",03-25001002,"Dnata Brisbane, , 9 Gahnia St Brisbane Airport, BRISBANE AIRPORT, , ",2025-05-16,"2025-05-16 16:14:53","METRO 1",0,1,0,2,700,2025-05-16
"Canine Country","09.05.2025 pickup","*Chill Qld, , 24 Octal Street, YATALA, , 1035052",2025-05-12,"2025-05-12 08:13:45","METRO 2",0,8,0,6.711,3800,
"CHILL (SYD) PROMO","11/05 COCOBELLA MDC Sampling","South Bank Cultural Forecourt, , Melbourne Street, SOUTH BRISBANE, , ",2025-05-11,"2025-05-12 08:23:27","METRO 1",0,4,4,7.058,1081,2025-05-11
"Canine Country","12.05.2025 pickup","*Chill Qld, , 24 Octal Street, YATALA, , 1035052",2025-05-13,"2025-05-13 07:27:04","METRO 2",0,8,0,2.018,2200,
"CHILL (SYD) PROMO","12/05 RETURN COCOBELLA MDC leftovers + collat","Made Group, , 3a/3b 38 Eastern Services Road, STAPYLTON, , ",2025-05-12,"2025-05-12 07:07:47","METRO 2",0,2,2,3.529,300,2025-05-12
"Canine Country","13.05.2025 pickup","*Chill Qld, , 24 Octal Street, YATALA, , 1035052",2025-05-14,"2025-05-14 07:11:47","METRO 2",0,5,0,0.988,1050,
Provet,13864141,"*Chill Qld, , 24 Octal Street, YATALA, , 1035052",2025-05-16,"2025-05-16 11:17:37","METRO 1",4,1,0,1.764,62,
"Canine Country","14.05.2025 pickup","*Chill Qld, , 24 Octal Street, YATALA, , 1035052",2025-05-14,"2025-05-15 06:55:13","METRO 2",0,4,0,7.058,679,
"Aqua Blue Distribution","14/05/25 Collection pickup","*Chill Qld, , 24 Octal Street, YATALA, , 1035052",2025-05-14,"2025-05-14 10:37:39","METRO 2",0,2,0,3.529,215,
"Canine Country","16.05.2025 pickup","*Chill Qld, , 24 Octal Street, YATALA, , 1035052",2025-05-16,"2025-05-19 11:14:04","METRO 2",0,6,0,4.755,2606,
"CHILL (SYD) PROMO","16/05 2 X COCOBELLA Pushcarts to NSW","Chill Nsw, , 128 Old Pittwater Road, BROOKVALE, , ",2025-05-16,"2025-05-19 07:50:39","QLD to NSW Shuttle",0,1,1,1.764,150,2025-05-16
BioConcepts,1754648,"Rener Health Products, , 4 / 7-13 Bell Street, CANNING VALE, , ",2025-05-08,"2025-05-13 07:16:37",WA,14,1,0,0.581,120,
"Made For Mothers",2200,"Herbal Wisdom, , 64 Byron St, BANGALOW, , ",2025-05-16,"2025-05-16 14:19:37","NORTHERN RIVERS",3,0,0,0.04,10,2025-05-16
"Made For Mothers",2209,"Organika, , Unit 2, 3 Gibson Rd, NOOSAVILLE, , ",2025-05-15,"2025-05-15 12:07:49","SUNSHINE COAST",1,0,0,0.02,4,2025-05-15
"Pasta Poetry",2230293401,"Virgin Australia Lounge, , Terminal Drive, BILINGA, , ",2025-05-13,"2025-05-13 11:07:49","GOLD COAST",15,0,0,0,150,2025-05-12
"Pasta Poetry",2230293898,"Virgin Australia Lounge Brisbane, , Bribie Way, BRISBANE AIRPORT, , ",2025-05-13,"2025-05-13 09:40:06","METRO 1",18,0,0,0,180,2025-05-13
"Pasta Poetry",2230293898/1,"Virgin Australia Lounge Brisbane, , Bribie Way, BRISBANE AIRPORT, , ",2025-05-16,"2025-05-16 14:07:41","METRO 1",0,1,0,1.764,540,2025-05-16
"Pasta Poetry",2230294045,"Virgin Australia Lounge, , Terminal Drive, BILINGA, , ",2025-05-16,"2025-05-16 13:23:58","GOLD COAST",14,0,0,0,140,2025-05-16
"Real Pet Food Co",2508770,"Vip-cap Coast Rural (the Green Shed) (c1067001), , 47 Tanby Road, YEPPOON, , ",2025-05-12,"2025-05-14 06:03:13",ROCKHAMPTON,0,1,0,1.764,25.48,2025-05-12
"Real Pet Food Co",2509101,"Pet Superstore (c6026001), , 100/400 Stafford Rd, STAFFORD, , ",2025-05-14,"2025-05-14 13:35:48","METRO 1",1,0,0,0.024,12,2025-05-14
"Real Pet Food Co",2509358,"Pet City - Mt Gravatt (c1058001), , 224 Wishart Road, MOUNT GRAVATT, , ",2025-05-16,"2025-05-16 14:15:37","METRO 1",1,0,0,0.014,6.49,2025-05-16
"The Butcher's Dog",27858-POR2041717,"Chill Transport - Petbarn Brisbane Dc 27858, , 24 Octal St, YATALA, , ",2025-05-14,"2025-05-15 06:55:13","Warehouse Inbound",0,1,1,2.049,480,2025-05-14
"Charles Patisserie (NSW)","282572 - 282574","Dnata Catering Brisbane, , 9 Gahnia Street, BRISBANE AIRPORT, , ",2025-05-16,"2025-05-16 16:14:19","METRO 1",0,1,0,0.432,100,2025-05-16
"Merrylands Produce",2840163,"Petstock Cannonvale, , 8 Galbraith Park Drive, CANNONVALE, , ",2025-05-12,"2025-05-14 06:03:13","AIRLIE BEACH",1,0,0,0.034,14,
"CJs Food Products",2842631,"Petstock West Ipswich, , 339 Brisbane Street, WEST IPSWICH, , ",2025-05-14,"2025-05-14 15:07:38","METRO 2",5,0,0,0.145,82.5,2025-05-13
"CJs Food Products",2843643,"Petstock Ashmore, Petstock, 345 Southport Nerang Road, 6, ASHMORE, , ",2025-05-14,"2025-05-14 15:57:42","GOLD COAST",5,0,0,0.145,82.5,2025-05-14
"CJs Food Products",2843645,"Petstock Maroochydore, , 5/72 Maroochydore Rd, MAROOCHYDORE, , ",2025-05-15,"2025-05-15 10:43:37","SUNSHINE COAST",5,0,0,0.145,82.5,2025-05-14
"CJs Food Products",2843647,"Petstock North Lakes, , Shop T5, NORTH LAKES, , ",2025-05-15,"2025-05-15 12:11:45","METRO 2",5,0,0,0.145,82.5,2025-05-14
"CJs Food Products",2844116,"Petstock North Lakes, , Shop T5, NORTH LAKES, , ",2025-05-15,"2025-05-15 12:09:43","METRO 2",7,0,0,0.203,115.5,2025-05-15
"Made For Mothers",3801,"Lucy Morris, , 1 Leopard Street, KANGAROO POINT, , ",2025-05-08,"2025-05-15 10:50:59","METRO 1",1,0,0,0.012,5,2025-05-08
"Made For Mothers",3814,"Erin Oflaherty, , 3 Nirimba Court, BILAMBIL HEIGHTS, , ",2025-05-16,"2025-05-16 17:09:36","NORTHERN RIVERS",1,0,0,0.02,5,2025-05-16
"Made For Mothers",3822,"Kate Fleiter, , 58 Carlyle Street, BYRON BAY, , ",2025-05-16,"2025-05-16 09:49:46","NORTHERN RIVERS",1,0,0,0.02,5,2025-05-16
"CHILL QLD","3x MegaBin Lids & 1x MegaBin to QLD - Interstate","Chill Qld, , 24 Octal Street, YATALA, , ",2025-05-16,"2025-05-19 11:14:05","Warehouse Inbound",1,1,0,1.764,20,
"Mama Ka'z",408072,"Moco Food, , 75 Ebbern St, DARRA, , ",2025-05-14,"2025-05-14 15:11:01","METRO 1",0,4,3,2,2100,2025-05-14
"Canine Country",4268,"Happy Paws Pet Food, , 1/52 Siganto Dve, HELENSVALE, , ",2025-05-12,"2025-05-12 08:19:50","GOLD COAST",0,2,0,2.347,1304,2025-05-12
"Canine Country",4269,"Uncle Toms Pet & Poultry, , 2/34 Brendan Drive, NERANG, , ",2025-05-12,"2025-05-12 09:15:46","GOLD COAST",0,1,0,0.597,316,2025-05-12
